RestaurantScore,Name,Address,Episodes,Celebrities,HasTabelog,HasPhone,GoogleSearchURL,Recommendation
10,"2:40 シナモロールカフェ","東京都内",1,"≠ME",Yes,No,"https://www.google.com/search?q=2%3A40%20%E3%82%B7%E3%83%8A%E3%83%A2%E3%83%AD%E3%83%BC%E3%83%AB%E3%82%AB%E3%83%95%E3%82%A7%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%86%85",KEEP
10,"400°C 神楽坂","東京都新宿区神楽坂3-2 Kagurazaka Terrace B1F",1,"よにのちゃんねる",No,No,"https://www.google.com/search?q=400%C2%B0C%20%E7%A5%9E%E6%A5%BD%E5%9D%82%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E7%A5%9E%E6%A5%BD%E5%9D%823-2%20Kagurazaka%20Terrace%20B1F",KEEP
10,"Blue Seal アメリカンビレッジ店","沖縄県中頭郡北谷町美浜15-69",1,"よにのちゃんねる",Yes,No,"https://www.google.com/search?q=Blue%20Seal%20%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E3%83%B3%E3%83%93%E3%83%AC%E3%83%83%E3%82%B8%E5%BA%97%20%E6%B2%96%E7%B8%84%E7%9C%8C%E4%B8%AD%E9%A0%AD%E9%83%A1%E5%8C%97%E8%B0%B7%E7%94%BA%E7%BE%8E%E6%B5%9C15-69",KEEP
10,"Clover's Pancake Cafe","東京都渋谷区恵比寿西2-20-19",1,"Travis Japan",Yes,No,"https://www.google.com/search?q=Clover's%20Pancake%20Cafe%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E6%81%B5%E6%AF%94%E5%AF%BF%E8%A5%BF2-20-19",KEEP
10,"COCKTAIL WORKS 神保町","〒101-0052 東京都千代田区神田小川町3-7-13 ヴァンサンクビル1F",1,"菊池風磨",Yes,No,"https://www.google.com/search?q=COCKTAIL%20WORKS%20%E7%A5%9E%E4%BF%9D%E7%94%BA%20%E3%80%92101-0052%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E7%A5%9E%E7%94%B0%E5%B0%8F%E5%B7%9D%E7%94%BA3-7-13%20%E3%83%B4%E3%82%A1%E3%83%B3%E3%82%B5%E3%83%B3%E3%82%AF%E3%83%93%E3%83%AB1F",KEEP
10,"EL SUENITO（エルスエニート）","岡山県備前市日生町日生641-51",1,"亀梨和也",No,No,"https://www.google.com/search?q=EL%20SUENITO%EF%BC%88%E3%82%A8%E3%83%AB%E3%82%B9%E3%82%A8%E3%83%8B%E3%83%BC%E3%83%88%EF%BC%89%20%E5%B2%A1%E5%B1%B1%E7%9C%8C%E5%82%99%E5%89%8D%E5%B8%82%E6%97%A5%E7%94%9F%E7%94%BA%E6%97%A5%E7%94%9F641-51",KEEP
10,"GINZA過門香 錦糸町駅前プラザビル店","東京都墨田区錦糸町",1,"SixTONES",Yes,No,"https://www.google.com/search?q=GINZA%E9%81%8E%E9%96%80%E9%A6%99%20%E9%8C%A6%E7%B3%B8%E7%94%BA%E9%A7%85%E5%89%8D%E3%83%97%E3%83%A9%E3%82%B6%E3%83%93%E3%83%AB%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%A2%A8%E7%94%B0%E5%8C%BA%E9%8C%A6%E7%B3%B8%E7%94%BA",KEEP
10,"Hohokam DINER（ホホカムダイナー）","東京都渋谷区神宮前1-14-21",1,"亀梨和也",Yes,No,"https://www.google.com/search?q=Hohokam%20DINER%EF%BC%88%E3%83%9B%E3%83%9B%E3%82%AB%E3%83%A0%E3%83%80%E3%82%A4%E3%83%8A%E3%83%BC%EF%BC%89%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%A5%9E%E5%AE%AE%E5%89%8D1-14-21",KEEP
10,"JUNKY SPECIAL（歌舞伎町）","〒160-0021 東京都新宿区歌舞伎町2-46-5",1,"よにのちゃんねる",No,No,"https://www.google.com/search?q=JUNKY%20SPECIAL%EF%BC%88%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA%EF%BC%89%20%E3%80%92160-0021%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA2-46-5",KEEP
10,"L'Occitane Cafe Shibuya","東京都渋谷区道玄坂2-3-1",1,"Travis Japan",Yes,No,"https://www.google.com/search?q=L'Occitane%20Cafe%20Shibuya%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E9%81%93%E7%8E%84%E5%9D%822-3-1",KEEP
